title,dialogue ratio,parenthetical ratio,words per line,dialogue sentiment,number of scenes,runtime,release,domestic
DATE NIGHT,0.787870421,0.028880866,15.45306859,0.031444764,67,88,2010,98711404
YES MAN,0.789228103,0.068965517,15.70291777,0.069803008,149,104,2008,97690976
PUBLIC ENEMIES,0.761039717,0.079457364,20.25678295,0.038836523,235,143,2009,97104620
THE SOCIAL NETWORK,0.716438666,0.022994952,12.42456534,0.087535346,154,120,2010,96962694
LEGALLY BLONDE,0.408733737,0.215967247,9.743091095,0.126240528,128,96,2001,96520674
PANIC ROOM,0.191858453,0.075645756,8.182656827,0.029943676,168,112,2002,96397334
ZERO DARK THIRTY,0.785882994,0.033457249,21.43990087,0.031028356,229,157,2012,95720716
ARTHUR,0.801134318,0.044422507,17.56959526,0.050998396,132,97,1981,95461682
THE BOOK OF ELI,0.865046163,0.005018821,30.09535759,0.017455511,99,118,2010,94835059
HE'S JUST NOT THAT INTO YOU,0.806400861,0.018485915,17.14524648,0.103307111,118,129,2009,93953653
FLIGHT,0.69818645,0.066964286,20.55535714,0.060296998,131,139,2012,93772375
SAVE THE LAST DANCE,0.338205148,0.233986928,11.64575163,0.046822751,136,113,2001,91057006
BAD DREAMS,0.330403713,0.229931973,10.94557823,0.071487546,135,80,1988,9797098
BLUE VALENTINE,0.80459719,0.002890173,26.1517341,0.009445376,147,112,2010,9706328
THE VISITOR,0.803378969,0.002059732,14.20185376,0.070192121,172,103,2008,9427089
BLACK SNAKE MOAN,0.845647171,0.291715286,24.86814469,0.021640545,134,116,2007,9396870
OBLIVION,0.767284155,0.05090312,30.46962233,0.03309107,166,125,2013,89107235
THE UGLY TRUTH,0.465838237,0.108803165,10.49357072,0.119969392,132,96,2009,88915214
ENTRAPMENT,0.245709246,0.005249344,9.50656168,0.080257541,86,113,1999,87704396
PINEAPPLE EXPRESS,0.825264817,0.14822335,19.14111675,-0.02195926,93,105,2008,87341380
CLIFFHANGER,0.830132471,0.519503546,46.44326241,0.009438913,101,113,1993,84049211
UP IN THE AIR,0.787245341,0.0508647,16.58901322,0.087157286,150,109,2009,83823381
SAVING MR. BANKS,0.81650926,0.059292035,17.67345133,0.096202618,148,120,2013,83301580
VALKYRIE,0.175019275,0.065217391,6.250724638,0.044700531,160,120,2008,83077833
DIE HARD,0.706731889,0.099601594,24.1752988,0.017473766,118,131,1988,83008852
THE DESCENDANTS,0.52905464,0.067073171,13.01829268,0.077311366,120,115,2011,82584160
THE HEBREW HAMMER,0.8476639,0.001453488,26.42296512,0.048715919,62,85,2003,82157
