Title,Dialogue Ratio,Parenthetical Ratio,Words per Line,Dialogue Sentiment,Number of Scenes
FEW GOOD MEN,0.7704877091583717,0.17005420054200543,14.631436314363144,0.04227724306078419,78
MOST VIOLENT YEAR,0.7644815077970158,0.007582139848357203,17.22240943555181,0.057348977493297836,128
SERIOUS MAN,0.8117162556105687,0.007067137809187279,20.661955241460543,0.03807722522138581,0
ABOVE THE LAW,0.24673982754934798,0.3152,11.08,0.04939382665945165,185
GIRL STUDENT,0.22230000388908333,0.5106382978723404,11.056092843326885,0.04604829760186904,326
THE ABYSS,0.2376654441077978,0.03765690376569038,10.393305439330543,0.07606563076462737,243
KAUFMAN,0.4773382933495293,0.14702308626974483,15.279465370595382,0.1387799506397827,202
THE ADDAMS FAMILY,0.2766939859171188,0.28113879003558717,8.530249110320284,0.03966382707610777,66
THE ADJUSTMENT BUREAU,0.8020382577749019,0.04837117472852912,19.577492596248767,0.05295309976761599,249
SHOOTING DRAFT,0.8462663822005486,0.1432258064516129,17.913548387096775,0.0070382971353468386,84
FINAL SHOOTING SCRIPT,0.38608642620665623,0.04674457429048414,7.398163606010017,0.1485814885567669,147
AFTER.LIFE,0.8223421077109107,0.034606205250596656,21.100238663484486,-0.019325693563423684,196
AGNES OF GOD,0.552552969781174,0.14105263157894737,8.372631578947368,0.04449679940575612,0
STRIKE FORCE LEADER,0.823339535943493,0.06666666666666667,22.584375,0.04683439654912347,338
AIRPLANE 2: THE SEQUEL,0.751033372492712,0.1841409691629956,15.207929515418503,0.043731995943789126,258
AIRPLANE,0.7425742574257426,0.12772133526850507,20.899854862119014,0.07340129250389073,335
ALI,0.7856333492366412,0.2948356807511737,24.738967136150233,0.026133686574862945,200
JOHN,0.004978335023508805,24.5,54.0,-0.2518518518518518,46
ALIEN,0.3342598720494154,0.20588235294117646,8.570135746606335,0.08653389359271715,0
FIRST DRAFT,0.8464582229288111,0.26720647773279355,32.333333333333336,-0.0195004319352146,191
ALL ABOUT STEVE,0.8608082381446868,0.011363636363636364,25.119949494949495,0.06029541907119226,194
ALL THE KING'S MEN,0.8426299137520045,0.18120237087214225,16.462320067739203,0.07926581025367833,0
BEGIN THE BREAK-IN SEQUENCE.,0.7056123263611688,0.3107454017424976,17.112294288480154,0.05087118593116225,0
ALONE IN THE DARK,0.7958404419530425,0.012048192771084338,39.34136546184739,0.006817589509650987,158
OLD SALIERI,0.8557283508614902,0.11447084233261338,22.025917926565874,0.0677975464483873,174
AMELIA,0.6448456653374686,0.008028545941123996,15.579839429081177,0.11192243141236864,113
THE AMERICAN,0.22705763055602501,0.018651362984218076,7.710186513629842,0.1303922123317505,168
JANE,0.3517531556802244,0.22470433639947437,9.886990801576873,0.0750279765995084,162
AMERICAN GANGSTER,0.40835539864666076,0.054567022538552785,14.818505338078293,0.05834765754063998,309
RADIO,0.887636761487965,0.08326105810928014,21.10928013876843,0.04710558410692118,0
DANNY,0.019356399709654006,0.11949685534591195,0.5031446540880503,-0.02377344877344878,142
AMERICAN HUSTLE,0.4899462535567499,0.0736196319018405,11.88420245398773,0.05628490124179778,145
AMERICAN MADNESS,0.7622830603764361,0.35174418604651164,18.13081395348837,0.07779126478044779,97
WHITE REVISION: 7/7/98,0.3883829566366253,0.16969050160085378,8.784418356456777,0.13401172989148538,210
SHEPHERD,0.0012086417887898473,14.4,2.1333333333333333,0.0,110
YOUNG ADULT,0.20515563530954517,0.11700468018720749,9.274570982839313,0.11092237198584629,151
AMERICAN SNIPER,0.33132075471698114,0.16494845360824742,9.051546391752577,0.0007264157353125311,124
PRODUCTION DRAFT,0.7821243005595524,0.13403614457831325,23.576807228915662,0.0592700022587533,135
TRUCK DRIVER,0.3997976310933873,0.1697459584295612,7.75635103926097,0.05180658675072086,102
THE AMITYVILLE ASYLUM,0.8794558291716893,0.0015267175572519084,23.39083969465649,0.004099530950105679,96
AMOUR,0.8200944313289821,0.08664259927797834,21.319494584837546,0.02744760306649556,60
AN EDUCATION,0.46917655455437596,0.12596899224806202,10.19186046511628,0.1018978914344084,121
ANALYZE THAT,0.4570089739622475,0.24165202108963094,9.084358523725834,0.11338606238846632,125
ANALYZE THIS,0.5382889556787877,0.17012089810017272,10.981001727115716,0.09557334116800147,103
TATIANA (O.C.),0.23000605524244258,0.2119309262166405,7.751962323390895,0.07332025484803265,111
DISSOLVE TO:,0.30497940304979404,0.06395939086294417,8.568527918781726,0.09319550898475823,114
ANGELS DEMONS,0.5878868997824995,0.056,20.078857142857142,0.01810323045277561,0
ANNA KARENINA,0.8301191151446398,0.01599247412982126,22.02822201317027,0.06199938505105622,265
ANONYMOUS,0.3796403003317618,0.24331210191082803,13.848407643312102,0.13366143998029592,178
SHOOTING DRAFT,0.7946846706212926,0.18120805369127516,22.777404921700224,0.04960758313631873,258
,0.3540753724802805,0.34615384615384615,9.944615384615384,0.05352320804589236,57
THE APARTMENT,0.4352387488969507,0.3465587044534413,10.782995951417004,0.1016849729603282,100
NIGHT,0.0,67.0,0.0,0.0,59
APRIL FOOL'S DAY,0.7903496503496503,0.10171428571428572,19.37485714285714,0.029896898591078677,157
PRODUCTION DRAFT #4A,0.4211301060519889,0.07238307349665925,14.017817371937639,0.07420461164727238,145
ARBITRAGE,0.7776111408677022,0.09421000981354269,14.247301275760549,0.03160767092299094,111
ARGO,0.7112290526139831,0.07368421052631578,22.393421052631577,0.04335869924893034,306
DISSOLVE TO:,0.021807440925087983,0.11764705882352941,20.41176470588235,-0.012581168831168816,90
ARSENIC AND OLD LACE,0.0023056550864620656,25.333333333333332,24.666666666666668,0.07943121693121692,0
ARTHUR,0.8011343176089305,0.044422507403751234,17.56959526159921,0.050998395914839775,132
THE ARTIST,0.002325581395348837,0.25,8.75,0.38095238095238093,120
ASSASSINS,0.3194287207175825,0.0011350737797956867,8.326901248581159,0.03866161616161617,181
THE ASSIGNMENT,0.8719532503709087,0.08090614886731391,31.065803667745417,0.03637057625315189,194
AUGUST: OSAGE COUNTY,0.531037695562716,0.03754512635379061,9.876534296028881,0.07355329778459979,82
BY,0.7639022415625158,0.21305841924398625,17.29324169530355,-0.019305168539736444,135
AUSTIN POWERS: THE SPY WHO SHAGGED ME,0.7869531162582523,0.19230769230769232,16.90625,-0.042193606881966154,110
AUTHORS ANONYMOUS,0.38780600461893766,0.0038910505836575876,10.889753566796369,0.1885315234608294,125
AUTUMN IN NEW YORK,0.8472373606103798,0.116254036598493,21.754574811625403,0.07419216280575995,151
AVATAR,0.7191610786132115,0.06675062972292191,31.741813602015114,0.036521718666534905,163
THE AVENGERS,0.7212725934407459,0.02544769085768143,16.623939679547597,0.011177743935096917,192
"OCTOBER 2, 1989",0.3083902347769152,0.17428924598269468,12.22620519159456,0.06135015180037143,222
BABEL,0.738938216114652,0.017374517374517374,19.36003861003861,-0.030591120156517528,199
THE BACHELOR PARTY,0.0,177.0,0.0,0.0,0
SHOOTING DRAFT (1984),0.8235320245180776,0.2384169884169884,17.896718146718147,0.10638376066705643,129
THE BACK-UP PLAN,0.43156881616939363,0.09236569274269557,8.452403393025447,0.1295681872690803,133
SHOOTING DRAFT,0.8581242423129202,0.18256410256410258,23.957948717948717,0.0015176543622177012,196
BAD BOYS,0.36073128352345696,0.17402269861286254,12.042875157629256,0.05194903091782339,276
BAD COUNTRY,0.7375708537060275,0.1971326164874552,20.365591397849464,-0.018690566243476297,215
BAD DAY AT BLACK ROCK,0.8121289979622575,0.5271411338962606,22.1145958986731,-0.03068321492038552,80
BAD DREAMS,0.33040371267813873,0.22993197278911565,10.945578231292517,0.0714875461464578,135
FIRST DRAFT,0.6728268761137879,0.16030534351145037,25.938931297709924,0.018909813270791803,0
