title,genre,runtime,release,domestic
Dunkirk,Action Thriller,1 hrs. 46 min.,"July 21, 2017",Unknown
The A-Team,Action,1 hrs. 57 min.,"June 11, 2010","$77,222,099"
A.C.O.D.,Comedy,1 hrs. 28 min.,"October 4, 2013","$175,705"
A.I. Artificial Intelligence,Sci-Fi,2 hrs. 25 min.,"June 29, 2001","$78,616,689"
A Aa,Comedy / Drama,2 hrs. 32 min.,"June 1, 2016","$2,313,043"
Aaja Nachle,Foreign,2 hrs. 25 min.,"November 30, 2007","$484,108"
Aarakshan (Reservation),Foreign,N/A,"August 12, 2011","$651,096"
Aashayein (Wishes),Foreign,2 hrs. 0 min.,"August 27, 2010",Unknown
Aatsinki:The Story of Arctic Cowboys,Documentary,1 hrs. 25 min.,"January 24, 2014","$6,601"
Abacus:Small Enough to Jail,Documentary,1 hrs. 28 min.,"May 19, 2017",Unknown
Abandon,Thriller,1 hrs. 39 min.,"October 18, 2002","$10,727,683"
The Abandoned,Horror,1 hrs. 46 min.,"February 23, 2007","$1,331,137"
ABC Africa,Documentary,1 hrs. 23 min.,"May 3, 2002","$9,075"
The ABC's of Death,Horror,2 hrs. 9 min.,"March 8, 2013",Unknown
ABCD,Unknown,1 hrs. 45 min.,"November 30, 2001",Unknown
ABCD (Any Body Can Dance),Foreign,2 hrs. 25 min.,"February 8, 2013","$222,098"
ABCD (Any Body Can Dance) 2,Musical,2 hrs. 34 min.,"June 19, 2015","$892,133"
ABCs of Death 2,Horror,N/A,"October 31, 2014","$7,171"
Abduction,Action,1 hrs. 46 min.,"September 23, 2011","$28,087,155"
Abduction:The Megumi Yokota Story,Documentary,1 hrs. 25 min.,"November 24, 2006","$26,859"
Abel,Foreign,1 hrs. 24 min.,TBD,Unknown
Aberdeen,Unknown,1 hrs. 46 min.,"August 17, 2001","$65,090"
Abominable,Horror,1 hrs. 34 min.,"April 14, 2006","$1,810"
Abouna,Unknown,1 hrs. 24 min.,"February 20, 2004",Unknown
About a Boy,Comedy / Drama,1 hrs. 40 min.,"May 17, 2002","$41,385,278"
About Adam,Romantic Comedy,1 hrs. 37 min.,"May 11, 2001","$159,668"
About Alex,Comedy,1 hrs. 36 min.,"August 8, 2014",Unknown
About Cherry,Drama,1 hrs. 42 min.,"September 21, 2012","$3,003"
About Elly,Drama,1 hrs. 59 min.,"April 8, 2015","$470,760"
About Fifty,Comedy,1 hrs. 22 min.,"November 11, 2011",Unknown
About Last Night (2014),Romantic Comedy,1 hrs. 40 min.,"February 14, 2014","$48,637,684"
About Last Night...,Romantic Comedy,1 hrs. 53 min.,"July 4, 1986","$38,702,310"
About Schmidt,Comedy / Drama,2 hrs. 4 min.,"December 13, 2002","$65,016,287"
About Time,Comedy,2 hrs. 3 min.,"November 1, 2013","$15,322,921"
Above and Below,Documentary,1 hrs. 50 min.,"April 15, 2016",Unknown
Above and Beyond,Documentary,1 hrs. 27 min.,"January 30, 2015","$288,751"
Above the Law,Action,1 hrs. 39 min.,"April 8, 1988","$18,869,631"
Above the Rim,Sports Drama,1 hrs. 38 min.,"March 25, 1994","$16,192,320"
Abraham Lincoln:Vampire Hunter,Horror Thriller,1 hrs. 45 min.,"June 22, 2012","$37,519,139"
Absence,Thriller,1 hrs. 22 min.,"July 5, 2013","$1,031"
Absence of Malice,Drama / Thriller,1 hrs. 56 min.,"November 20, 1981","$40,716,963"
Absolute Beginners,Musical,1 hrs. 48 min.,"April 18, 1986","$930,211"
Absolute Power,Crime Thriller,2 hrs. 1 min.,"February 14, 1997","$50,068,310"
Absolute Wilson,Documentary,1 hrs. 49 min.,"October 27, 2006","$66,217"
Absolutely Anything,Sci-Fi Comedy,1 hrs. 25 min.,"May 12, 2017",Unknown
Absolutely Fabulous:The Movie,Comedy,1 hrs. 30 min.,"July 22, 2016","$4,772,155"
Absurdistan,Foreign,1 hrs. 28 min.,"February 6, 2009","$39,683"
Abuse of Weakness,Foreign,1 hrs. 45 min.,"August 15, 2014","$31,611"
The Abyss,Sci-Fi Adventure,2 hrs. 26 min.,"August 11, 1989","$54,222,310"
The Abyss Special Edition,Sci-Fi Adventure,2 hrs. 51 min.,"February 26, 1993","$238,737"
