title,genre,runtime,release,domestic
The Bishop's Wife,Fantasy Comedy,1 hrs. 49 min.,"December 9, 1947",Unknown
A Bit of Bad Luck,Comedy / Drama,1 hrs. 26 min.,"May 13, 2016","$18,089"
Bitch Slap,Action,1 hrs. 45 min.,"January 8, 2010","$17,365"
Bite,Horror,1 hrs. 26 min.,"May 6, 2016",Unknown
Bitter Harvest,Drama,1 hrs. 43 min.,"February 24, 2017","$557,241"
Bitter Moon,Horror,2 hrs. 19 min.,"March 18, 1994","$1,862,805"
Bitter Sugar,Foreign,1 hrs. 15 min.,"October 11, 1996","$450,060"
Bittersweet Motel,Unknown,1 hrs. 22 min.,"August 25, 2000","$391,653"
Biutiful,Foreign,2 hrs. 27 min.,"January 28, 2011","$5,101,237"
Dunkirk,Action Thriller,1 hrs. 46 min.,"July 21, 2017",Unknown
Bjork - Biophilia Live,Documentary,1 hrs. 37 min.,"September 26, 2014","$127,754"
Black,Foreign,2 hrs. 2 min.,"February 4, 2005","$754,819"
Black and White,Crime Drama,1 hrs. 39 min.,"April 7, 2000","$5,277,299"
The Black Balloon,Drama,1 hrs. 37 min.,"December 5, 2008",Unknown
Black Beauty,Family Adventure,1 hrs. 46 min.,"July 29, 1994","$4,630,377"
Black Book,Foreign,2 hrs. 25 min.,"April 4, 2007","$4,398,532"
Black Butler:Book of the Atlantic,Animation,1 hrs. 41 min.,"June 12, 2017",Unknown
Black Butterflies,Foreign,1 hrs. 40 min.,"March 2, 2012",Unknown
"Black Cat, White Cat",Unknown,2 hrs. 15 min.,"September 10, 1999","$351,447"
The Black Cauldron,Animation,1 hrs. 20 min.,"July 26, 1985","$21,288,692"
Black Christmas (1974),Horror,1 hrs. 33 min.,"December 20, 1974",Unknown
Black Christmas (2006),Horror,1 hrs. 40 min.,"December 25, 2006","$16,273,581"
The Black Dahlia,Crime Drama,1 hrs. 59 min.,"September 15, 2006","$22,545,080"
Black Death,Adventure,1 hrs. 37 min.,"March 11, 2011","$22,554"
Black Diamond Rush,Documentary,1 hrs. 36 min.,"October 12, 1993","$1,634,386"
Black Dog,Action,1 hrs. 29 min.,"May 1, 1998","$12,951,088"
The Black Dove,Drama,N/A,"August 12, 2016","$22,517"
Black Dynamite,Action Comedy,1 hrs. 30 min.,"October 16, 2009","$242,578"
Black Friday,Foreign,2 hrs. 23 min.,"February 9, 2007","$35,000"
Black Girl (2016 re-issue),Drama,1 hrs. 5 min.,"May 18, 2016",Unknown
Black Gold,Documentary,1 hrs. 18 min.,"October 6, 2006","$93,477"
Black Hawk Down,War,2 hrs. 24 min.,"December 28, 2001","$108,638,745"
The Black Hole,Sci-Fi Thriller,1 hrs. 38 min.,"December 21, 1979","$35,841,901"
Black Irish,Drama,1 hrs. 33 min.,"October 26, 2007","$6,900"
"Black Is, Black Ain't",Documentary,1 hrs. 27 min.,"May 5, 1995","$10,171"
Black Knight,Adventure Comedy,1 hrs. 35 min.,"November 21, 2001","$33,426,971"
The Black Marble,Unknown,1 hrs. 50 min.,"January 1, 1980","$2,500,000"
Black Mask,Action,1 hrs. 42 min.,"May 14, 1999","$12,504,289"
